step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,392,8,0.6911990390894062,0.0,0.27450980392156865,0.38937237829541116,0.0,0.5740740740740741
2,848,16,0.4701687097470442,0.0,0.46808510638297873,,,
3,1176,24,0.630531617241213,0.0,0.609375,,,
4,1504,32,0.5145396737645933,0.0,0.6379310344827587,,,
5,1896,40,0.37315124917977305,0.0,0.5897435897435898,,,
6,2160,48,0.6937505969760878,0.0,0.59375,,,
7,2424,56,0.5868051363076063,0.125,0.6727272727272727,,,
8,2880,64,0.31965400029725316,0.125,0.6956521739130435,,,
9,3208,72,0.479899789542269,0.25,0.6885245901639344,,,
10,3600,80,0.3127043039963913,0.125,0.6956521739130435,,,
11,3928,88,0.4418305328876886,0.0,0.5384615384615384,,,
12,4192,96,0.40462190435513323,0.0,0.7543859649122807,,,
13,4456,104,0.5980372960895693,0.0,0.6101694915254238,,,
14,4656,112,0.6747285760515677,0.0,0.5675675675675675,,,
15,4856,120,0.4040252727497773,0.25,0.7857142857142857,,,
16,5312,128,0.2510955453238239,0.0,0.625,,,
17,5704,136,0.26325238520227384,0.25,0.82,,,
18,5904,144,0.481548494041734,0.25,0.7692307692307693,,,
19,6232,152,0.299654103217008,0.0,0.7547169811320755,,,
20,6752,160,0.2278393270245601,0.25,0.7627118644067796,,,
21,7080,168,0.3387988465660237,0.125,0.6818181818181818,,,
22,7344,176,0.35151136883338274,0.0,0.6976744186046512,,,
23,7544,184,0.3985759609306115,0.125,0.7450980392156863,,,
24,7808,192,0.31634096770389986,0.25,0.82,,,
25,8200,200,0.22609230588626206,0.25,0.8260869565217391,,,
26,8464,208,0.5177650163734483,0.0,0.65,,,
27,8792,216,0.20776051242408355,0.125,0.8360655737704918,,,
28,9120,224,0.402873608599557,0.125,0.7647058823529411,,,
29,9576,232,0.25223907055532047,0.125,0.7090909090909091,,,
30,10160,240,0.15236294228377317,0.25,0.7435897435897436,,,
31,10488,248,0.369814701467667,0.0,0.717391304347826,,,
32,10752,256,0.2665805844735871,0.125,0.7560975609756098,,,
33,11016,264,0.4073822711475771,0.0,0.7419354838709677,,,
34,11408,272,0.2035552472517461,0.25,0.8260869565217391,,,
35,11608,280,0.31977614104188584,0.0,0.782608695652174,,,
36,11936,288,0.22232988743171064,0.5,0.8596491228070176,,,
37,12200,296,0.2926377992722124,0.375,0.8,,,
38,12400,304,0.31215729107427326,0.25,0.8392857142857143,,,
39,12792,312,0.23460848613810772,0.25,0.8360655737704918,,,
40,13056,320,0.353309596621611,0.0,0.7704918032786885,,,
41,13320,328,0.23080484794000924,0.375,0.8653846153846154,,,
42,13520,336,0.46616098964718117,0.125,0.75,,,
43,13848,344,0.22576391627828687,0.375,0.8333333333333334,,,
44,14304,352,0.21375487356787587,0.125,0.8095238095238095,,,
45,14632,360,0.24679659944962626,0.25,0.8732394366197183,,,
46,14896,368,0.249547881176386,0.25,0.8297872340425532,,,
47,15352,376,0.12700953297472617,0.25,0.813953488372093,,,
48,15616,384,0.25351940166582737,0.25,0.8235294117647058,,,
49,15944,392,0.270497707257739,0.25,0.8904109589041096,,,
50,16336,400,0.23874046565958051,0.125,0.8431372549019608,,,
51,16600,408,0.29663252820935143,0.375,0.8163265306122449,,,
52,16864,416,0.26946513586182164,0.125,0.7708333333333334,,,
53,17320,424,0.18942076770556793,0.25,0.8214285714285714,,,
54,17520,432,0.2788148090099867,0.5,0.8333333333333334,,,
55,17912,440,0.16099383745387855,0.125,0.8666666666666667,,,
56,18240,448,0.17146154264900815,0.125,0.8095238095238095,,,
57,18696,456,0.15610924921217023,0.25,0.8,,,
58,18960,464,0.20921171386723073,0.5,0.9358974358974359,,,
59,19160,472,0.3269623705617278,0.125,0.8163265306122449,,,
60,19360,480,0.2950288236194676,0.25,0.8653846153846154,,,
61,19944,488,0.107058706693134,0.75,0.9649122807017544,,,
62,20400,496,0.1523582156596977,0.375,0.8888888888888888,,,
63,20856,504,0.17916630549454862,0.375,0.8888888888888888,,,
64,21120,512,0.21327180508861832,0.375,0.875,,,
65,21384,520,0.2212658024799879,0.5,0.9193548387096774,,,
66,21968,528,0.14883752782194504,0.25,0.825,,,
67,22232,536,0.20790342992243613,0.375,0.875,,,
68,22432,544,0.23913244110661558,0.5,0.9230769230769231,,,
69,22824,552,0.15584969197157458,0.5,0.8780487804878049,,,
70,23216,560,0.17771442899474246,0.375,0.875,,,
71,23480,568,0.2041069539492902,0.5,0.9354838709677419,,,
72,23680,576,0.24556373240947096,0.375,0.8372093023255814,,,
73,24008,584,0.2320435625897721,0.25,0.8113207547169812,,,
74,24400,592,0.1619510318290395,0.625,0.8958333333333334,,,
75,24792,600,0.2730288066006665,0.25,0.7777777777777778,,,
76,24992,608,0.2962345334154861,0.25,0.8409090909090909,,,
77,25320,616,0.10904106638835857,0.875,0.9782608695652174,,,
78,25776,624,0.1550760743032356,0.375,0.9,,,
79,26168,632,0.11322245092880508,0.75,0.96,,,
80,26496,640,0.18991546974055837,0.625,0.8947368421052632,,,
81,26888,648,0.1793792425978931,0.375,0.8653846153846154,,,
82,27344,656,0.20582961386488383,0.25,0.8490566037735849,,,
83,27672,664,0.13184343384471217,0.25,0.8571428571428571,,,
